img,label
2010_004542.jpg,2010_004542.txt
2009_003406.jpg,2009_003406.txt
001582.jpg,001582.txt
005379.jpg,005379.txt
009676.jpg,009676.txt
000973.jpg,000973.txt
007614.jpg,007614.txt
009098.jpg,009098.txt
2010_000393.jpg,2010_000393.txt
2011_002942.jpg,2011_002942.txt
2008_002451.jpg,2008_002451.txt
2009_003757.jpg,2009_003757.txt
005375.jpg,005375.txt
000857.jpg,000857.txt
004812.jpg,004812.txt
2008_007431.jpg,2008_007431.txt
2010_004073.jpg,2010_004073.txt
2008_007050.jpg,2008_007050.txt
2009_000168.jpg,2009_000168.txt
2009_004162.jpg,2009_004162.txt
000830.jpg,000830.txt
007528.jpg,007528.txt
002467.jpg,002467.txt
2008_004551.jpg,2008_004551.txt
003108.jpg,003108.txt
008035.jpg,008035.txt
2010_005071.jpg,2010_005071.txt
2009_004161.jpg,2009_004161.txt
008940.jpg,008940.txt
2009_002936.jpg,2009_002936.txt
008471.jpg,008471.txt
003148.jpg,003148.txt
005509.jpg,005509.txt
2008_003709.jpg,2008_003709.txt
002671.jpg,002671.txt
2008_008262.jpg,2008_008262.txt
005815.jpg,005815.txt
008072.jpg,008072.txt
005889.jpg,005889.txt
2008_003152.jpg,2008_003152.txt
2008_002787.jpg,2008_002787.txt
2008_008070.jpg,2008_008070.txt
2008_000829.jpg,2008_000829.txt
2010_002469.jpg,2010_002469.txt
2009_001424.jpg,2009_001424.txt
2008_000149.jpg,2008_000149.txt
2009_001614.jpg,2009_001614.txt
008550.jpg,008550.txt
2010_002770.jpg,2010_002770.txt
000712.jpg,000712.txt
2011_002519.jpg,2011_002519.txt
2009_003820.jpg,2009_003820.txt
2008_002623.jpg,2008_002623.txt
2010_002653.jpg,2010_002653.txt
2009_000869.jpg,2009_000869.txt
000833.jpg,000833.txt
2008_008368.jpg,2008_008368.txt
007709.jpg,007709.txt
009044.jpg,009044.txt
005692.jpg,005692.txt
006035.jpg,006035.txt
2009_004232.jpg,2009_004232.txt
2008_003504.jpg,2008_003504.txt
2008_001692.jpg,2008_001692.txt
008772.jpg,008772.txt
005349.jpg,005349.txt
006902.jpg,006902.txt
005096.jpg,005096.txt
2011_001950.jpg,2011_001950.txt
000435.jpg,000435.txt
2008_005001.jpg,2008_005001.txt
2009_004322.jpg,2009_004322.txt
2009_000229.jpg,2009_000229.txt
2008_004519.jpg,2008_004519.txt
2008_006489.jpg,2008_006489.txt
2011_000214.jpg,2011_000214.txt
007717.jpg,007717.txt
2008_006578.jpg,2008_006578.txt
2008_001344.jpg,2008_001344.txt
006447.jpg,006447.txt
2008_008200.jpg,2008_008200.txt
004338.jpg,004338.txt
2010_003108.jpg,2010_003108.txt
2008_001660.jpg,2008_001660.txt
001255.jpg,001255.txt
2009_004629.jpg,2009_004629.txt
006627.jpg,006627.txt
007604.jpg,007604.txt
005956.jpg,005956.txt
008450.jpg,008450.txt
2008_001402.jpg,2008_001402.txt
007624.jpg,007624.txt
2008_007496.jpg,2008_007496.txt
002419.jpg,002419.txt
2009_004351.jpg,2009_004351.txt
2010_004726.jpg,2010_004726.txt
002329.jpg,002329.txt
009725.jpg,009725.txt
2009_004594.jpg,2009_004594.txt
2010_003942.jpg,2010_003942.txt
2010_004616.jpg,2010_004616.txt
008991.jpg,008991.txt
001691.jpg,001691.txt
2010_000148.jpg,2010_000148.txt
2008_002590.jpg,2008_002590.txt
003333.jpg,003333.txt
001283.jpg,001283.txt
2008_007397.jpg,2008_007397.txt
2008_003941.jpg,2008_003941.txt
2008_003305.jpg,2008_003305.txt
001736.jpg,001736.txt
2008_002011.jpg,2008_002011.txt
000489.jpg,000489.txt
000086.jpg,000086.txt
001716.jpg,001716.txt
2011_002752.jpg,2011_002752.txt
2009_002193.jpg,2009_002193.txt
2010_004067.jpg,2010_004067.txt
007268.jpg,007268.txt
2009_004078.jpg,2009_004078.txt
2008_007521.jpg,2008_007521.txt
2008_003874.jpg,2008_003874.txt
006426.jpg,006426.txt
005307.jpg,005307.txt
2009_001113.jpg,2009_001113.txt
2011_001158.jpg,2011_001158.txt
002614.jpg,002614.txt
005151.jpg,005151.txt
003537.jpg,003537.txt
000158.jpg,000158.txt
008847.jpg,008847.txt
001466.jpg,001466.txt
009259.jpg,009259.txt
2008_004739.jpg,2008_004739.txt
2011_002174.jpg,2011_002174.txt
2008_003763.jpg,2008_003763.txt
2010_005518.jpg,2010_005518.txt
007441.jpg,007441.txt
009532.jpg,009532.txt
2008_003773.jpg,2008_003773.txt
2008_000881.jpg,2008_000881.txt
005483.jpg,005483.txt
000006.jpg,000006.txt
005900.jpg,005900.txt
2008_007164.jpg,2008_007164.txt
009693.jpg,009693.txt
004324.jpg,004324.txt
001068.jpg,001068.txt
2008_008246.jpg,2008_008246.txt
2009_003416.jpg,2009_003416.txt
2008_003104.jpg,2008_003104.txt
008989.jpg,008989.txt
2008_000740.jpg,2008_000740.txt
005514.jpg,005514.txt
005864.jpg,005864.txt
2009_001850.jpg,2009_001850.txt
002013.jpg,002013.txt
000987.jpg,000987.txt
003377.jpg,003377.txt
004467.jpg,004467.txt
2010_000318.jpg,2010_000318.txt
2010_006082.jpg,2010_006082.txt
2009_001153.jpg,2009_001153.txt
2009_002433.jpg,2009_002433.txt
2011_001069.jpg,2011_001069.txt
2008_008103.jpg,2008_008103.txt
2010_002326.jpg,2010_002326.txt
004490.jpg,004490.txt
2008_008564.jpg,2008_008564.txt
006839.jpg,006839.txt
2011_001475.jpg,2011_001475.txt
008656.jpg,008656.txt
2009_003942.jpg,2009_003942.txt
2008_007635.jpg,2008_007635.txt
2009_001823.jpg,2009_001823.txt
002521.jpg,002521.txt
2009_003153.jpg,2009_003153.txt
2008_007145.jpg,2008_007145.txt
2010_003251.jpg,2010_003251.txt
006363.jpg,006363.txt
002022.jpg,002022.txt
2011_002093.jpg,2011_002093.txt
005663.jpg,005663.txt
008752.jpg,008752.txt
001529.jpg,001529.txt
008759.jpg,008759.txt
2009_001355.jpg,2009_001355.txt
008370.jpg,008370.txt
2010_005833.jpg,2010_005833.txt
2010_004066.jpg,2010_004066.txt
2008_005642.jpg,2008_005642.txt
004441.jpg,004441.txt
001051.jpg,001051.txt
2011_001769.jpg,2011_001769.txt
2010_004519.jpg,2010_004519.txt
008779.jpg,008779.txt
2008_002852.jpg,2008_002852.txt
2011_000598.jpg,2011_000598.txt
2008_006400.jpg,2008_006400.txt
2008_001542.jpg,2008_001542.txt
2008_000704.jpg,2008_000704.txt
003539.jpg,003539.txt
003767.jpg,003767.txt
2009_003666.jpg,2009_003666.txt
2008_003926.jpg,2008_003926.txt
2011_001875.jpg,2011_001875.txt
2010_006041.jpg,2010_006041.txt
004174.jpg,004174.txt
001445.jpg,001445.txt
2010_001286.jpg,2010_001286.txt
2008_000223.jpg,2008_000223.txt
2008_000066.jpg,2008_000066.txt
2009_004285.jpg,2009_004285.txt
004779.jpg,004779.txt
007128.jpg,007128.txt
2009_001084.jpg,2009_001084.txt
2011_003259.jpg,2011_003259.txt
2009_001927.jpg,2009_001927.txt
002740.jpg,002740.txt
2008_003133.jpg,2008_003133.txt
2010_004822.jpg,2010_004822.txt
002603.jpg,002603.txt
003093.jpg,003093.txt
2009_004787.jpg,2009_004787.txt
2008_001737.jpg,2008_001737.txt
2008_006190.jpg,2008_006190.txt
2010_003723.jpg,2010_003723.txt
2008_003886.jpg,2008_003886.txt
2009_002009.jpg,2009_002009.txt
2008_006649.jpg,2008_006649.txt
2011_001582.jpg,2011_001582.txt
008498.jpg,008498.txt
2008_004124.jpg,2008_004124.txt
2009_002088.jpg,2009_002088.txt
008029.jpg,008029.txt
2008_000703.jpg,2008_000703.txt
2009_001881.jpg,2009_001881.txt
2008_002820.jpg,2008_002820.txt
008080.jpg,008080.txt
2009_001374.jpg,2009_001374.txt
008469.jpg,008469.txt
2008_008208.jpg,2008_008208.txt
002770.jpg,002770.txt
2010_005115.jpg,2010_005115.txt
2011_000043.jpg,2011_000043.txt
005139.jpg,005139.txt
2011_001305.jpg,2011_001305.txt
000071.jpg,000071.txt
2011_002395.jpg,2011_002395.txt
2009_000635.jpg,2009_000635.txt
2010_002947.jpg,2010_002947.txt
005108.jpg,005108.txt
2009_004181.jpg,2009_004181.txt
2008_004075.jpg,2008_004075.txt
2008_002634.jpg,2008_002634.txt
007382.jpg,007382.txt
001564.jpg,001564.txt
2009_004671.jpg,2009_004671.txt
2008_002399.jpg,2008_002399.txt
2010_005472.jpg,2010_005472.txt
2010_002853.jpg,2010_002853.txt
2009_003936.jpg,2009_003936.txt
2010_005053.jpg,2010_005053.txt
2010_001214.jpg,2010_001214.txt
000414.jpg,000414.txt
001810.jpg,001810.txt
2009_002978.jpg,2009_002978.txt
2010_001172.jpg,2010_001172.txt
006625.jpg,006625.txt
004836.jpg,004836.txt
001449.jpg,001449.txt
2010_003093.jpg,2010_003093.txt
006013.jpg,006013.txt
002568.jpg,002568.txt
2008_008127.jpg,2008_008127.txt
2010_000536.jpg,2010_000536.txt
2011_002371.jpg,2011_002371.txt
003699.jpg,003699.txt
2008_003691.jpg,2008_003691.txt
000942.jpg,000942.txt
2008_004617.jpg,2008_004617.txt
001618.jpg,001618.txt
2010_000358.jpg,2010_000358.txt
2011_003212.jpg,2011_003212.txt
007095.jpg,007095.txt
003860.jpg,003860.txt
007992.jpg,007992.txt
2008_003914.jpg,2008_003914.txt
2009_002373.jpg,2009_002373.txt
2008_000540.jpg,2008_000540.txt
2009_004180.jpg,2009_004180.txt
2010_003731.jpg,2010_003731.txt
006100.jpg,006100.txt
007885.jpg,007885.txt
005859.jpg,005859.txt
007351.jpg,007351.txt
000243.jpg,000243.txt
2009_002872.jpg,2009_002872.txt
2008_006129.jpg,2008_006129.txt
2008_004990.jpg,2008_004990.txt
005866.jpg,005866.txt
2011_000698.jpg,2011_000698.txt
2008_002508.jpg,2008_002508.txt
2008_002071.jpg,2008_002071.txt
2008_008048.jpg,2008_008048.txt
2009_004557.jpg,2009_004557.txt
2009_001126.jpg,2009_001126.txt
2011_000076.jpg,2011_000076.txt
007323.jpg,007323.txt
007466.jpg,007466.txt
2008_006517.jpg,2008_006517.txt
004336.jpg,004336.txt
005552.jpg,005552.txt
2008_000605.jpg,2008_000605.txt
008957.jpg,008957.txt
2008_001498.jpg,2008_001498.txt
005821.jpg,005821.txt
2011_001537.jpg,2011_001537.txt
2009_004273.jpg,2009_004273.txt
003102.jpg,003102.txt
2008_002047.jpg,2008_002047.txt
003195.jpg,003195.txt
2010_005603.jpg,2010_005603.txt
2008_001979.jpg,2008_001979.txt
2009_002499.jpg,2009_002499.txt
004175.jpg,004175.txt
2009_002869.jpg,2009_002869.txt
2010_000162.jpg,2010_000162.txt
004332.jpg,004332.txt
2008_004497.jpg,2008_004497.txt
2008_000421.jpg,2008_000421.txt
006016.jpg,006016.txt
2008_004058.jpg,2008_004058.txt
009019.jpg,009019.txt
007866.jpg,007866.txt
007231.jpg,007231.txt
2008_001456.jpg,2008_001456.txt
007470.jpg,007470.txt
005255.jpg,005255.txt
003036.jpg,003036.txt
2009_002399.jpg,2009_002399.txt
2010_000651.jpg,2010_000651.txt
2008_002293.jpg,2008_002293.txt
2009_000899.jpg,2009_000899.txt
2008_003521.jpg,2008_003521.txt
006758.jpg,006758.txt
003576.jpg,003576.txt
009601.jpg,009601.txt
2010_004172.jpg,2010_004172.txt
2009_003091.jpg,2009_003091.txt
2010_005232.jpg,2010_005232.txt
2009_002343.jpg,2009_002343.txt
007184.jpg,007184.txt
2010_001601.jpg,2010_001601.txt
005550.jpg,005550.txt
009352.jpg,009352.txt
004423.jpg,004423.txt
009330.jpg,009330.txt
005351.jpg,005351.txt
2008_001613.jpg,2008_001613.txt
008547.jpg,008547.txt
007702.jpg,007702.txt
2010_003628.jpg,2010_003628.txt
008377.jpg,008377.txt
2010_001665.jpg,2010_001665.txt
2011_001464.jpg,2011_001464.txt
2008_007146.jpg,2008_007146.txt
2011_000027.jpg,2011_000027.txt
2008_003524.jpg,2008_003524.txt
003557.jpg,003557.txt
002848.jpg,002848.txt
005983.jpg,005983.txt
008160.jpg,008160.txt
2009_004889.jpg,2009_004889.txt
2010_003574.jpg,2010_003574.txt
2008_000144.jpg,2008_000144.txt
2008_000407.jpg,2008_000407.txt
2009_000595.jpg,2009_000595.txt
004681.jpg,004681.txt
003497.jpg,003497.txt
2008_003430.jpg,2008_003430.txt
2011_000651.jpg,2011_000651.txt
2009_002226.jpg,2009_002226.txt
2009_001706.jpg,2009_001706.txt
005617.jpg,005617.txt
004310.jpg,004310.txt
2010_002136.jpg,2010_002136.txt
000153.jpg,000153.txt
2009_004688.jpg,2009_004688.txt
2010_005972.jpg,2010_005972.txt
007142.jpg,007142.txt
009437.jpg,009437.txt
2011_000258.jpg,2011_000258.txt
004685.jpg,004685.txt
2009_001289.jpg,2009_001289.txt
002497.jpg,002497.txt
2009_004043.jpg,2009_004043.txt
2008_000867.jpg,2008_000867.txt
000238.jpg,000238.txt
2008_008588.jpg,2008_008588.txt
2010_005921.jpg,2010_005921.txt
2009_002024.jpg,2009_002024.txt
2010_003299.jpg,2010_003299.txt
2009_005217.jpg,2009_005217.txt
2009_004503.jpg,2009_004503.txt
2008_007260.jpg,2008_007260.txt
000944.jpg,000944.txt
008417.jpg,008417.txt
2008_007888.jpg,2008_007888.txt
2008_002873.jpg,2008_002873.txt
2011_000744.jpg,2011_000744.txt
002545.jpg,002545.txt
001281.jpg,001281.txt
2009_002256.jpg,2009_002256.txt
2008_006843.jpg,2008_006843.txt
002258.jpg,002258.txt
001044.jpg,001044.txt
000918.jpg,000918.txt
2010_000689.jpg,2010_000689.txt
2008_003560.jpg,2008_003560.txt
2008_002926.jpg,2008_002926.txt
2010_004459.jpg,2010_004459.txt
006079.jpg,006079.txt
003221.jpg,003221.txt
